-a	-M/REM
atnī-s	DAT-3SG
atnī-man	DAT-1PL
atnī-ran	DAT-2PL
atnī-san	DAT-3PL
nkī-m	LOC-1SG
nkī-r	LOC-2SG
nkī-s	LOC-3SG
nkī-man	LOC-1PL
nkī-ran	LOC-2PL
nkī-san	LOC-3PL
wašī-m-i	with-1SG-PRED
wašī-r-i	with-2SG-PRED
wašī-s-i	with-3SG-PRED
wašī-man-i	with-1PL-PRED
wašī-ran-i	with-2PL-PRED
wašī-san-i	with-3PL-PRED
minkī-m-i	ABL-1SG-PRED
minkī-r-i	ABL-2SG-PRED
minkī-s-i	ABL-3SG-PRED
minkī-man-i	ABL-1PL-PRED
minkī-ran-i	ABL-2PL-PRED
minkī-san-i	ABL-3PL-PRED
atnī-m-i	DAT-1SG-PRED
atnī-r-i	DAT-2SG-PRED
atnī-s-i	DAT-3SG-PRED
atnī-man-i	DAT-1PL-PRED
atnī-ran-i	DAT-2PL-PRED
atnī-san-i	DAT-3PL-PRED
at-sun-ta	for-3PL-DAT
nkī-m-i	LOC-1SG-PRED
nkī-r-i	LOC-2SG-PRED
nkī-s-i	LOC-3SG-PRED
nkī-man-i	LOC-1PL-PRED
nkī-ran-i	LOC-2PL-PRED
nkī-san-i	LOC-3PL-PRED
ʕankī-m	about-1SG
ʕankī-r	about-2SG
ʕankī-s	about-3SG
ʕankī-man	about-1PL-PRED
ʕankī-ran	about-2PL-PRED
ʕankī-san	about-3PL-PRED
ʕankī-m-i	about-1SG-PRED
ʕankī-r-i	about-2SG-PRED
ʕankī-s-i	about-3SG-PRED
ʕankī-man-i	about-1PL-PRED
ʕankī-ran-i	about-2PL-PRED
ʕankī-san-i	about-3PL-PRED
mīndē-san	with-3PL
er-as	DEM.PROX-OBL.M.SG
er-a	DEM.PROX-OBL.F.SG
er-an	DEM.PROX-OBL.PL
er-as-ke	DEM.PROX-OBL.M.SG-BEN
er-a-ke	DEM.PROX-OBL.F.SG-BEN
er-an-ke	DEM.PROX-OBL.PL-BEN
er-as-ma	DEM.PROX-OBL.M.SG-LOC
er-a-ma	DEM.PROX-OBL.F.SG-LOC
er-an-ma	DEM.PROX-OBL.PL-LOC
er-as-ta	DEM.PROX-OBL.M.SG-DAT
er-a-ta	DEM.PROX-OBL.F.SG-DAT
er-an-ta	DEM.PROX-OBL.PL-DAT
er-as-san	DEM.PROX-OBL.M.SG-SOC
er-a-san	DEM.PROX-OBL.F.SG-SOC
er-an-san	DEM.PROX-OBL.PL-SOC
er-as-ki	DEM.PROX-OBL.M.SG-ABL
er-a-ki	DEM.PROX-OBL.F.SG-ABL
er-an-ki	DEM.PROX-OBL.PL-ABL
ōr-as	DEM.REM-OBL.M.SG
ōr-a	DEM.REM-OBL.F.SG
ōr-an	DEM.REM-OBL.PL
ōr-as-ke	DEM.REM-OBL.M.SG-BEN
ōr-a-ke	DEM.REM-OBL.F.SG-BEN
ōr-an-ke	DEM.REM-OBL.PL-BEN
ōr-as-ma	DEM.REM-OBL.M.SG-LOC
ōr-a-ma	DEM.REM-OBL.F.SG-LOC
ōr-an-ma	DEM.REM-OBL.PL-LOC
ōr-as-ta	DEM.REM-OBL.M.SG-DAT
ōr-a-ta	DEM.REM-OBL.F.SG-DAT
ōr-an-ta	DEM.REM-OBL.PL-DAT
ōr-as-san	DEM.REM-OBL.M.SG-SOC
ōr-a-san	DEM.REM-OBL.F.SG-SOC
ōr-an-san	DEM.REM-OBL.PL-SOC
ōr-as-ki	DEM.REM-OBL.M.SG-ABL
ōr-a-ki	DEM.REM-OBL.F.SG-ABL
ōr-an-ki	DEM.REM-OBL.PL-ABL
kate-ta	where-PRO.M
kate-ti	where-PRO.F
kate-te	where-PRO.PL
haṭe-ta	there-PRO.M
haṭe-ti	there-PRO.F
haṭe-te	there-PRO.PL
kiy-ik	what-PRED.SG
kān-ik	who-PRED.SG
-am	-1SG
-ar	-3SG
-an	-1PL
-and	-3PL
-ad	-3PL
-am-i	-1SG-PRES
-ar-i	-3SG-PRES
-an-i	-1PL-PRES
-as-i	-2PL-PRES
-and-i	-3PL-PRES
-ad-i	-3PL-PRES
-am-a	-1SG-REM
-ēy-a	-2SG-REM
-ar-a	-3SG-REM
-an-a	-1PL-REM
-as-a	-2PL-REM
-and-a	-3PL-REM
-ad-a	-3PL-REM
-am-ir	-1SG-2SG
-am-is	-1SG-3SG
-am-man	-1SG-1PL
-am-ran	-1SG-2PL
-am-san	-1SG-3PL
-ē-m	-2SG-1SG
-ē-man	-2SG-1PL
-ē-ran	-2SG-2PL
-ē-san	-2SG-3PL
-ar-im	-3SG-1SG
-ar-ir	-3SG-2SG
-ar-is	-3SG-3SG
-ar-man	-3SG-1PL
-ar-ran	-3SG-2PL
-ar-san	-3SG-3PL
-an-im	-1PL-1SG
-an-ir	-1PL-2SG
-an-is	-1PL-3SG
-an-ran	-1PL-2PL
-an-san	-1PL-3PL
-as-im	-2PL-1SG
-as-ir	-2PL-2SG
-as-is	-2PL-3SG
-as-man	-2PL-1PL
-as-ran	-2PL-2PL
-as-san	-2PL-3PL
-ad-im	-3PL-1SG
-ad-ir	-3PL-2SG
-ad-is	-3PL-3SG
-ad-man	-3PL-1PL
-ad-ran	-3PL-2PL
-ad-san	-3PL-3PL
-am-r-i	-1SG-2SG-PRES
-am-s-i	-1SG-3SG-PRES
-am-man-i	-1SG-1PL-PRES
-am-ran-i	-1SG-2PL-PRES
-am-san-i	-1SG-3PL-PRES
-ē-m-i	-2SG-1SG-PRES
-ē-man-i	-2SG-1PL-PRES
-ē-ran-i	-2SG-2PL-PRES
-ē-san-i	-2SG-3PL-PRES
-ar-m-i	-3SG-1SG-PRES
-ar-r-i	-3SG-2SG-PRES
-ar-s-i	-3SG-3SG-PRES
-ar-man-i	-3SG-1PL-PRES
-ar-ran-i	-3SG-2PL-PRES
-ar-san-i	-3SG-3PL-PRES
-an-m-i	-1PL-1SG-PRES
-an-r-i	-1PL-2SG-PRES
-an-s-i	-1PL-3SG-PRES
-an-ran-i	-1PL-2PL-PRES
-an-san-i	-1PL-3PL-PRES
-as-m-i	-2PL-1SG-PRES
-as-r-i	-2PL-2SG-PRES
-as-s-i	-2PL-3SG-PRES
-as-man-i	-2PL-1PL-PRES
-as-ran-i	-2PL-2PL-PRES
-as-san-i	-2PL-3PL-PRES
-ad-m-i	-3PL-1SG-PRES
-ad-r-i	-3PL-2SG-PRES
-ad-s-i	-3PL-3SG-PRES
-ad-man-i	-3PL-1PL-PRES
-ad-ran-i	-3PL-2PL-PRES
-ad-san-i	-3PL-3PL-PRES
-am-ir-a	-1SG-2SG-REM
-am-is-a	-1SG-3SG-REM
-am-man-a	-1SG-1PL-REM
-am-ran-a	-1SG-2PL-REM
-am-san-a	-1SG-3PL-REM
-ē-m-a	-2SG-1SG-REM
-ē-s-a	-2SG-3SG-REM
-ē-man-a	-2SG-1PL-REM
-ē-ran-a	-2SG-2PL-REM
-ē-san-a	-2SG-3PL-REM
-ar-m-a	-3SG-1SG-REM
-ar-r-a	-3SG-2SG-REM
-ar-s-a	-3SG-3SG-REM
-ar-man-a	-3SG-1PL-REM
-ar-ran-a	-3SG-2PL-REM
-ar-san-a	-3SG-3PL-REM
-an-m-a	-1PL-1SG-REM
-an-r-a	-1PL-2SG-REM
-an-s-a	-1PL-3SG-REM
-an-ran-a	-1PL-2PL-REM
-an-san-a	-1PL-3PL-REM
-as-m-a	-2PL-1SG-REM
-as-r-a	-2PL-2SG-REM
-as-s-a	-2PL-3SG-REM
-as-man-a	-2PL-1PL-REM
-as-ran-a	-2PL-2PL-REM
-as-san-a	-2PL-3PL-REM
-ad-m-a	-3PL-1SG-REM
-ad-r-a	-3PL-2SG-REM
-ad-s-a	-3PL-3SG-REm
-ad-man-a	-3PL-1PL-REM
-ad-ran-a	-3PL-2PL-REM
-ad-san-a	-3PL-3PL-REM
-naw-am	-CAUS-1SG
-naw-ar	-CAUS-3SG
-naw-an	-CAUS-1PL
-naw-as	-CAUS-2PL
-naw-and	-CAUS-3PL
-naw-ad	-CAUS-3PL
-naw-am-i	-CAUS-1SG-PRES
-naw-ēk	-CAUS-2SG
-naw-ar-i	-CAUS-3SG-PRES
-naw-an-i	-CAUS-1PL-PRES
-naw-as-i	-CAUS-2PL-PRES
-naw-and-i	-CAUS-3PL-PRES
-naw-ad-i	-CAUS-3PL-PRES
-naw-am-a	-CAUS-1SG-REM
-naw-ēy-a	-CAUS-2SG-REM
-naw-ar-a	-CAUS-3SG-REM
-naw-an-a	-CAUS-1PL-REM
-naw-as-a	-CAUS-2PL-REM
-naw-and-a	-CAUS-3PL-REM
-naw-ad-a	-CAUS-3PL-REM
-naw-am-ir	-CAUS-1SG-2SG
-naw-am-is	-CAUS-1SG-3SG
-naw-am-man	-CAUS-1SG-1PL
-naw-am-ran	-CAUS-1SG-2PL
-naw-am-san	-CAUS-1SG-3PL
-naw-ē-m	-CAUS-2SG-1SG
-naw-ē-s	-CAUS-2SG-3SG
-naw-naw-ē-man	-CAUS-2SG-1PL
-naw-ē-ran	-CAUS-2SG-2PL
-naw-ē-san	-CAUS-2SG-3PL
-naw-ar-im	-CAUS-3SG-1SG
-naw-ar-ir	-CAUS-3SG-2SG
-naw-ar-is	-CAUS-3SG-3SG
-naw-ar-man	-CAUS-3SG-1PL
-naw-ar-ran	-CAUS-3SG-2PL
-naw-ar-san	-CAUS-3SG-3PL
-naw-an-im	-CAUS-1PL-1SG
-naw-an-ir	-CAUS-1PL-2SG
-naw-an-is	-CAUS-1PL-3SG
-naw-an-ran	-CAUS-1PL-2PL
-naw-an-san	-CAUS-1PL-3PL
-naw-as-im	-CAUS-2PL-1SG
-naw-as-ir	-CAUS-2PL-2SG
-naw-as-is	-CAUS-2PL-3SG
-naw-as-man	-CAUS-2PL-1PL
-naw-as-ran	-CAUS-2PL-2PL
-naw-as-san	-CAUS-2PL-3PL
-naw-ad-im	-CAUS-3PL-1SG
-naw-ad-ir	-CAUS-3PL-2SG
-naw-ad-is	-CAUS-3PL-3SG
-naw-ad-man	-CAUS-3PL-1PL
-naw-ad-ran	-CAUS-3PL-2PL
-naw-ad-san	-CAUS-3PL-3PL
-naw-am-r-i	-CAUS-1SG-2SG-PRES
-naw-am-s-i	-CAUS-1SG-3SG-PRES
-naw-am-man-i	-CAUS-1SG-1PL-PRES
-naw-am-ran-i	-CAUS-1SG-2PL-PRES
-naw-am-san-i	-CAUS-1SG-3PL
-naw-ē-m-i	-CAUS-2SG-1SG
-naw-ē-s-i	-CAUS-2SG-3SG
-naw-ē-man-i	-CAUS-2SG-1PL
-naw-ē-ran-i	-CAUS-2SG-2PL
-naw-ē-san-i	-CAUS-2SG-3PL
-naw-ar-m-i	-CAUS-3SG-1SG
-naw-ar-r-i	-CAUS-3SG-2SG
-naw-ar-s-i	-CAUS-3SG-3SG
-naw-ar-man-i	-CAUS-3SG-1PL
-naw-ar-ran-i	-CAUS-3SG-2PL
-naw-ar-san-i	-CAUS-3SG-3PL
-naw-an-m-i	-CAUS-1PL-1SG
-naw-an-r-i	-CAUS-1PL-2SG
-naw-an-s-i	-CAUS-1PL-3SG
-naw-an-ran-i	-CAUS-1PL-2PL
-naw-an-san-i	-CAUS-1PL-3PL
-naw-as-m-i	-CAUS-2PL-1SG
-naw-as-r-i	-CAUS-2PL-2SG
-naw-as-s-i	-CAUS-2PL-3SG
-naw-as-man-i	-CAUS-2PL-1PL
-naw-as-ran-i	-CAUS-2PL-2PL
-naw-as-san-i	-CAUS-2PL-3PL
-naw-ad-m-i	-CAUS-3PL-1SG
-naw-ad-r-i	-CAUS-3PL-2SG
-naw-ad-s-i	-CAUS-3PL-3SG
-naw-ad-man-i	-CAUS-3PL-1PL
-naw-ad-ran-i	-CAUS-3PL-2PL
-naw-ad-san-i	-CAUS-3PL-3PL
-naw-am-ir-a	-CAUS-1SG-2SG-REM
-naw-am-is-a	-CAUS-1SG-3SG-REM
-naw-am-man-a	-CAUS-1SG-1PL-REM
-naw-am-ran-a	-CAUS-1SG-2PL-REM
-naw-am-san-a	-CAUS-1SG-3PL-REM
-naw-ē-m-a	-CAUS-2SG-1SG-REM
-naw-ē-s-a	-CAUS-2SG-3SG-REM
-naw-ē-man-a	-CAUS-2SG-1PL-REM
-naw-ē-ran-a	-CAUS-2SG-2PL-REM
-naw-ē-san-a	-CAUS-2SG-3PL-REM
-naw-ar-m-a	-CAUS-3SG-1SG-REM
-naw-ar-r-a	-CAUS-3SG-2SG-REM
-naw-ar-s-a	-CAUS-3SG-3SG-REM
-naw-ar-man-a	-CAUS-3SG-1PL-REM
-naw-ar-ran-a	-CAUS-3SG-2PL-REM
-naw-ar-san-a	-CAUS-3SG-3PL-REM
-naw-an-m-a	-CAUS-1PL-1SG-REM
-naw-an-r-a	-CAUS-1PL-2SG-REM
-naw-an-s-a	-CAUS-1PL-3SG-REM
-naw-an-ran-a	-CAUS-1PL-2PL-REM
-naw-an-san-a	-CAUS-1PL-3PL-REM
-naw-as-m-a	-CAUS-2PL-1SG-REM
-naw-as-r-a	-CAUS-2PL-2SG-REM
-naw-as-s-a	-CAUS-2PL-3SG-REM
-naw-as-man-a	-CAUS-2PL-1PL-REM
-naw-as-ran-a	-CAUS-2PL-2PL-REM
-naw-as-san-a	-CAUS-2PL-3PL-REM
-naw-ad-m-a	-CAUS-3PL-1SG-REM
-naw-ad-r-a	-CAUS-3PL-2SG-REM
-naw-ad-s-a	-CAUS-3PL-3SG-REm
-naw-ad-man-a	-CAUS-3PL-1PL-REM
-naw-ad-ran-a	-CAUS-3PL-2PL-REM
-naw-ad-san-a	-CAUS-3PL-3PL-REM
-k-am	-VTR-1SG
-k-ar	-VTR-3SG
-k-an	-VTR-1PL
-k-as	-VTR-2PL
-k-and	-VTR-3PL
-k-ad	-VTR-3PL
-k-am-i	-VTR-1SG-PRES
-k-ēk	-VTR-2SG
-k-ar-i	-VTR-3SG-PRES
-k-an-i	-VTR-1PL-PRES
-k-as-i	-VTR-2PL-PRES
-k-and-i	-VTR-3PL-PRES
-k-ad-i	-VTR-3PL-PRES
-k-am-a	-VTR-1SG-REM
-k-ēy-a	-VTR-2SG-REM
-k-ar-a	-VTR-3SG-REM
-k-an-a	-VTR-1PL-REM
-k-as-a	-VTR-2PL-REM
-k-and-a	-VTR-3PL-REM
-k-ad-a	-VTR-3PL-REM
-k-am-ir	-1SG-2SG
-k-am-is	-1SG-3SG
-k-am-man	-1SG-1PL
-k-am-ran	-1SG-2PL
-k-am-san	-1SG-3PL
