-a	-M/REM
-d-ēn-sàn-i	-PFV-1PL-3PL-PRES
-d-ēs-màn-i	-PFV-2PL-1PL-PRES
-d-ēs-ràn-i	-PFV-2PL-2PL-PRES
-d-ēs-sàn-i	-PFV-2PL-3PL-PRES
-d-ed-màn-i	-PFV-3PL-1PL-PRES
-d-ed-ràn-i	-PFV-3PL-2PL-PRES
-d-ed-sàn-i	-PFV-3PL-3PL-PRES
-d-om-r-à	-PFV-1SG-2SG-REM
-d-om-s-à	-PFV-1SG-3SG-REM
-d-or-m-à	-PFV-2SG-1SG-REM
-d-or-s-à	-PFV-2SG-3SG-REM
-d-os-m-à	-PFV-3SG-1SG-REM
-d-os-r-à	-PFV-3SG-2SG-REM
-d-os-s-à	-PFV-3SG-3SG-REM
-d-ēn-m-à	-PFV-1PL-1SG-REM
-d-ēn-r-à	-PFV-1PL-2SG-REM
-d-ēn-s-à	-PFV-1PL-3SG-REM
-d-ēs-m-à	-PFV-2PL-1SG-REM
-d-ēs-r-à	-PFV-2PL-2SG-REM
-d-ēs-s-à	-PFV-2PL-3SG-REM
-d-ed-m-à	-PFV-3PL-1SG-REM
-d-ed-r-à	-PFV-3PL-2SG-REM
-d-ed-s-à	-PFV-3PL-3SG-REM
-d-om-màn-à	-PFV-1SG-1PL-REM
-d-om-ràn-à	-PFV-1SG-2PL-REM
-d-om-sàn-à	-PFV-1SG-3PL-REM
-d-or-màn-à	-PFV-2SG-1PL-REM
-d-or-ràn-à	-PFV-2SG-1PL-REM
-d-or-sàn-à	-PFV-2SG-3PL-REM
-d-os-màn-à	-PFV-3SG-1PL-REM
-d-os-ràn-à	-PFV-3SG-2PL-REM
-d-os-sàn-à	-PFV-3SG-3PL-REM
-d-ēn-màn-à	-PFV-1PL-1PL-REM
-d-ēn-ràn-à	-PFV-1PL-2PL-REM
-d-ēn-sàn-à	-PFV-1PL-3PL-REM
-d-ēs-màn-à	-PFV-2PL-1PL-REM
-d-ēs-ràn-à	-PFV-2PL-2PL-REM
-d-ēs-sàn-à	-PFV-2PL-3PL-REM
-d-ed-màn-à	-PFV-3PL-1PL-REM
-d-ed-ràn-à	-PFV-3PL-2PL-REM
-d-ed-sàn-à	-PFV-3PL-3PL-REM
-id-à	-PFV-3SG.M
-id-om-à	-PFV-1SG-REM
-id-or-à	-PFV-2SG-REM
-id-ēy-à	-PFV-3SG.M-REM
-id-īy-à	-PFV-3SG.F-REM
-id-ēn-à	-PFV-1PL-REM
-id-ēs-à	-PFV-2PL-REM
-id-ēd-à	-PFV-3PL-REM
-id-om-màn	-PFV-1SG-1PL
-id-om-ràn	-PFV-1SG-2PL
-id-om-sàn	-PFV-1SG-3PL
-id-or-màn	-PFV-2SG-1PL
-id-or-ràn	-PFV-2SG-1PL
-id-or-sàn	-PFV-2SG-3PL
-id-os-màn	-PFV-3SG-1PL
-id-os-ràn	-PFV-3SG-2PL
-id-os-sàn	-PFV-3SG-3PL
-id-ēn-màn	-PFV-1PL-1PL
-id-ēn-ràn	-PFV-1PL-2PL
-id-ēn-sàn	-PFV-1PL-3PL
-id-ēs-màn	-PFV-2PL-1PL
-id-ēs-ràn	-PFV-2PL-2PL
-id-ēs-sàn	-PFV-2PL-3PL
-id-ed-màn	-PFV-3PL-1PL
-id-ed-ràn	-PFV-3PL-2PL
-id-ed-sàn	-PFV-3PL-3PL
-id-om-màn-i	-PFV-1SG-1PL-PRES
-id-om-ràn-i	-PFV-1SG-2PL-PRES
-id-om-sàn-i	-PFV-1SG-3PL-PRES
-id-or-màn-i	-PFV-2SG-1PL-PRES
-id-or-ràn-i	-PFV-2SG-1PL-PRES
-id-or-sàn-i	-PFV-2SG-3PL-PRES
-id-os-màn-i	-PFV-3SG-1PL-PRES
-id-os-ràn-i	-PFV-3SG-2PL-PRES
-id-os-sàn-i	-PFV-3SG-3PL-PRES
-id-ēn-màn-i	-PFV-1PL-1PL-PRES
-id-ēn-ràn-i	-PFV-1PL-2PL-PRES
-id-ēn-sàn-i	-PFV-1PL-3PL-PRES
-id-ēs-màn-i	-PFV-2PL-1PL-PRES
-id-ēs-ràn-i	-PFV-2PL-2PL-PRES
-id-ēs-sàn-i	-PFV-2PL-3PL-PRES
-id-ed-màn-i	-PFV-3PL-1PL-PRES
-id-ed-ràn-i	-PFV-3PL-2PL-PRES
-id-ed-sàn-i	-PFV-3PL-3PL-PRES
-id-om-r-à	-PFV-1SG-2SG-REM
-id-om-s-à	-PFV-1SG-3SG-REM
-id-or-m-à	-PFV-2SG-1SG-REM
-id-or-s-à	-PFV-2SG-3SG-REM
-id-os-m-à	-PFV-3SG-1SG-REM
-id-os-r-à	-PFV-3SG-2SG-REM
-id-os-s-à	-PFV-3SG-3SG-REM
-id-ēn-m-à	-PFV-1PL-1SG-REM
-id-ēn-r-à	-PFV-1PL-2SG-REM
-id-ēn-s-à	-PFV-1PL-3SG-REM
-id-ēs-m-à	-PFV-2PL-1SG-REM
-id-ēs-r-à	-PFV-2PL-2SG-REM
-id-ēs-s-à	-PFV-2PL-3SG-REM
-id-ed-m-à	-PFV-3PL-1SG-REM
-id-ed-r-à	-PFV-3PL-2SG-REM
-id-ed-s-à	-PFV-3PL-3SG-REM
-id-om-màn-à	-PFV-1SG-1PL-REM
-id-om-ràn-à	-PFV-1SG-2PL-REM
-id-om-sàn-à	-PFV-1SG-3PL-REM
-id-or-màn-à	-PFV-2SG-1PL-REM
-id-or-ràn-à	-PFV-2SG-1PL-REM
-id-or-sàn-à	-PFV-2SG-3PL-REM
-id-os-màn-à	-PFV-3SG-1PL-REM
-id-os-ràn-à	-PFV-3SG-2PL-REM
-id-os-sàn-à	-PFV-3SG-3PL-REM
-id-ēn-màn-à	-PFV-1PL-1PL-REM
-id-ēn-ràn-à	-PFV-1PL-2PL-REM
-id-ēn-sàn-à	-PFV-1PL-3PL-REM
-id-ēs-màn-à	-PFV-2PL-1PL-REM
-id-ēs-ràn-à	-PFV-2PL-2PL-REM
-id-ēs-sàn-à	-PFV-2PL-3PL-REM
-id-ed-màn-à	-PFV-3PL-1PL-REM
-id-ed-ràn-à	-PFV-3PL-2PL-REM
-id-ed-sàn-à	-PFV-3PL-3PL-REM
-ird-à	-PFV-3SG.M
-ird-om-à	-PFV-1SG-REM
-ird-or-à	-PFV-2SG-REM
-ird-ēy-à	-PFV-3SG.M-REM
-ird-īy-à	-PFV-3SG.F-REM
-ird-ēn-à	-PFV-1PL-REM
-ird-ēs-à	-PFV-2PL-REM
-ird-ēd-à	-PFV-3PL-REM
-ird-om-màn	-PFV-1SG-1PL
-ird-om-ràn	-PFV-1SG-2PL
-ird-om-sàn	-PFV-1SG-3PL
-ird-or-màn	-PFV-2SG-1PL
-ird-or-ràn	-PFV-2SG-1PL
-ird-or-sàn	-PFV-2SG-3PL
-ird-os-màn	-PFV-3SG-1PL
-ird-os-ràn	-PFV-3SG-2PL
-ird-os-sàn	-PFV-3SG-3PL
-ird-ēn-màn	-PFV-1PL-1PL
-ird-ēn-ràn	-PFV-1PL-2PL
-ird-ēn-sàn	-PFV-1PL-3PL
-ird-ēs-màn	-PFV-2PL-1PL
-ird-ēs-ràn	-PFV-2PL-2PL
-ird-ēs-sàn	-PFV-2PL-3PL
-ird-ed-màn	-PFV-3PL-1PL
-ird-ed-ràn	-PFV-3PL-2PL
-ird-ed-sàn	-PFV-3PL-3PL
-ird-om-màn-i	-PFV-1SG-1PL-PRES
-ird-om-ràn-i	-PFV-1SG-2PL-PRES
-ird-om-sàn-i	-PFV-1SG-3PL-PRES
-ird-or-màn-i	-PFV-2SG-1PL-PRES
-ird-or-ràn-i	-PFV-2SG-1PL-PRES
-ird-or-sàn-i	-PFV-2SG-3PL-PRES
-ird-os-màn-i	-PFV-3SG-1PL-PRES
-ird-os-ràn-i	-PFV-3SG-2PL-PRES
-ird-os-sàn-i	-PFV-3SG-3PL-PRES
-ird-ēn-màn-i	-PFV-1PL-1PL-PRES
-ird-ēn-ràn-i	-PFV-1PL-2PL-PRES
-ird-ēn-sàn-i	-PFV-1PL-3PL-PRES
-ird-ēs-màn-i	-PFV-2PL-1PL-PRES
-ird-ēs-ràn-i	-PFV-2PL-2PL-PRES
-ird-ēs-sàn-i	-PFV-2PL-3PL-PRES
-ird-ed-màn-i	-PFV-3PL-1PL-PRES
-ird-ed-ràn-i	-PFV-3PL-2PL-PRES
-ird-ed-sàn-i	-PFV-3PL-3PL-PRES
-ird-om-r-à	-PFV-1SG-2SG-REM
-ird-om-s-à	-PFV-1SG-3SG-REM
-ird-or-m-à	-PFV-2SG-1SG-REM
-ird-or-s-à	-PFV-2SG-3SG-REM
-ird-os-m-à	-PFV-3SG-1SG-REM
-ird-os-r-à	-PFV-3SG-2SG-REM
-ird-os-s-à	-PFV-3SG-3SG-REM
-ird-ēn-m-à	-PFV-1PL-1SG-REM
-ird-ēn-r-à	-PFV-1PL-2SG-REM
-ird-ēn-s-à	-PFV-1PL-3SG-REM
-ird-ēs-m-à	-PFV-2PL-1SG-REM
-ird-ēs-r-à	-PFV-2PL-2SG-REM
-ird-ēs-s-à	-PFV-2PL-3SG-REM
-ird-ed-m-à	-PFV-3PL-1SG-REM
-ird-ed-r-à	-PFV-3PL-2SG-REM
-ird-ed-s-à	-PFV-3PL-3SG-REM
-ird-om-màn-à	-PFV-1SG-1PL-REM
-ird-om-ràn-à	-PFV-1SG-2PL-REM
-ird-om-sàn-à	-PFV-1SG-3PL-REM
-ird-or-màn-à	-PFV-2SG-1PL-REM
-ird-or-ràn-à	-PFV-2SG-1PL-REM
-ird-or-sàn-à	-PFV-2SG-3PL-REM
-ird-os-màn-à	-PFV-3SG-1PL-REM
-ird-os-ràn-à	-PFV-3SG-2PL-REM
-ird-os-sàn-à	-PFV-3SG-3PL-REM
-ird-ēn-màn-à	-PFV-1PL-1PL-REM
-ird-ēn-ràn-à	-PFV-1PL-2PL-REM
-ird-ēn-sàn-à	-PFV-1PL-3PL-REM
-ird-ēs-màn-à	-PFV-2PL-1PL-REM
-ird-ēs-ràn-à	-PFV-2PL-2PL-REM
-ird-ēs-sàn-à	-PFV-2PL-3PL-REM
-ird-ed-màn-à	-PFV-3PL-1PL-REM
-ird-ed-ràn-à	-PFV-3PL-2PL-REM
-ird-ed-sàn-à	-PFV-3PL-3PL-REM
-ind-à	-PFV-3SG.M
-ind-om-à	-PFV-1SG-REM
-ind-or-à	-PFV-2SG-REM
-ind-ēy-à	-PFV-3SG.M-REM
-ind-īy-à	-PFV-3SG.F-REM
-ind-ēn-à	-PFV-1PL-REM
-ind-ēs-à	-PFV-2PL-REM
-ind-ēd-à	-PFV-3PL-REM
-ind-om-màn	-PFV-1SG-1PL
-ind-om-ràn	-PFV-1SG-2PL
-ind-om-sàn	-PFV-1SG-3PL
-ind-or-màn	-PFV-2SG-1PL
-ind-or-ràn	-PFV-2SG-1PL
-ind-or-sàn	-PFV-2SG-3PL
-ind-os-màn	-PFV-3SG-1PL
-ind-os-ràn	-PFV-3SG-2PL
-ind-os-sàn	-PFV-3SG-3PL
-ind-ēn-màn	-PFV-1PL-1PL
-ind-ēn-ràn	-PFV-1PL-2PL
-ind-ēn-sàn	-PFV-1PL-3PL
-ind-ēs-màn	-PFV-2PL-1PL
-ind-ēs-ràn	-PFV-2PL-2PL
-ind-ēs-sàn	-PFV-2PL-3PL
-ind-ed-màn	-PFV-3PL-1PL
-ind-ed-ràn	-PFV-3PL-2PL
-ind-ed-sàn	-PFV-3PL-3PL
-ind-om-màn-i	-PFV-1SG-1PL-PRES
-ind-om-ràn-i	-PFV-1SG-2PL-PRES
-ind-om-sàn-i	-PFV-1SG-3PL-PRES
-ind-or-màn-i	-PFV-2SG-1PL-PRES
-ind-or-ràn-i	-PFV-2SG-1PL-PRES
-ind-or-sàn-i	-PFV-2SG-3PL-PRES
-ind-os-màn-i	-PFV-3SG-1PL-PRES
-ind-os-ràn-i	-PFV-3SG-2PL-PRES
-ind-os-sàn-i	-PFV-3SG-3PL-PRES
-ind-ēn-màn-i	-PFV-1PL-1PL-PRES
-ind-ēn-ràn-i	-PFV-1PL-2PL-PRES
-ind-ēn-sàn-i	-PFV-1PL-3PL-PRES
-ind-ēs-màn-i	-PFV-2PL-1PL-PRES
-ind-ēs-ràn-i	-PFV-2PL-2PL-PRES
-ind-ēs-sàn-i	-PFV-2PL-3PL-PRES
-ind-ed-màn-i	-PFV-3PL-1PL-PRES
-ind-ed-ràn-i	-PFV-3PL-2PL-PRES
-ind-ed-sàn-i	-PFV-3PL-3PL-PRES
-ind-om-r-à	-PFV-1SG-2SG-REM
-ind-om-s-à	-PFV-1SG-3SG-REM
-ind-or-m-à	-PFV-2SG-1SG-REM
-ind-or-s-à	-PFV-2SG-3SG-REM
-ind-os-m-à	-PFV-3SG-1SG-REM
-ind-os-r-à	-PFV-3SG-2SG-REM
-ind-os-s-à	-PFV-3SG-3SG-REM
-ind-ēn-m-à	-PFV-1PL-1SG-REM
-ind-ēn-r-à	-PFV-1PL-2SG-REM
-ind-ēn-s-à	-PFV-1PL-3SG-REM
-ind-ēs-m-à	-PFV-2PL-1SG-REM
-ind-ēs-r-à	-PFV-2PL-2SG-REM
-ind-ēs-s-à	-PFV-2PL-3SG-REM
-ind-ed-m-à	-PFV-3PL-1SG-REM
-ind-ed-r-à	-PFV-3PL-2SG-REM
-ind-ed-s-à	-PFV-3PL-3SG-REM
-ind-om-màn-à	-PFV-1SG-1PL-REM
-ind-om-ràn-à	-PFV-1SG-2PL-REM
-ind-om-sàn-à	-PFV-1SG-3PL-REM
-ind-or-màn-à	-PFV-2SG-1PL-REM
-ind-or-ràn-à	-PFV-2SG-1PL-REM
-ind-or-sàn-à	-PFV-2SG-3PL-REM
-ind-os-màn-à	-PFV-3SG-1PL-REM
-ind-os-ràn-à	-PFV-3SG-2PL-REM
-ind-os-sàn-à	-PFV-3SG-3PL-REM
-ind-ēn-màn-à	-PFV-1PL-1PL-REM
-ind-ēn-ràn-à	-PFV-1PL-2PL-REM
-ind-ēn-sàn-à	-PFV-1PL-3PL-REM
-ind-ēs-màn-à	-PFV-2PL-1PL-REM
-ind-ēs-ràn-à	-PFV-2PL-2PL-REM
-ind-ēs-sàn-à	-PFV-2PL-3PL-REM
-ind-ed-màn-à	-PFV-3PL-1PL-REM
-ind-ed-ràn-à	-PFV-3PL-2PL-REM
-ind-ed-sàn-à	-PFV-3PL-3PL-REM
-k-ed-à	-VTR-PFV-3SG.M
-k-ed-om-màn	-VTR-PFV-1SG-1PL
-k-ed-om-ràn	-VTR-PFV-1SG-2PL
-k-ed-om-sàn	-VTR-PFV-1SG-3PL
-k-ed-or-màn	-VTR-PFV-2SG-1PL
-k-ed-or-ràn	-VTR-PFV-2SG-1PL
-k-ed-or-sàn	-VTR-PFV-2SG-3PL
-k-ed-os-màn	-VTR-PFV-3SG-1PL
-k-ed-os-ràn	-VTR-PFV-3SG-2PL
-k-ed-os-sàn	-VTR-PFV-3SG-3PL
-k-ed-ēn-màn	-VTR-PFV-1PL-1PL
-k-ed-ēn-ràn	-VTR-PFV-1PL-2PL
-k-ed-ēn-sàn	-VTR-PFV-1PL-3PL
-k-ed-ēs-màn	-VTR-PFV-2PL-1PL
-k-ed-ēs-ràn	-VTR-PFV-2PL-2PL
-k-ed-ēs-sàn	-VTR-PFV-2PL-3PL
-k-ed-ed-màn	-VTR-PFV-3PL-1PL
-k-ed-ed-ràn	-VTR-PFV-3PL-2PL
-k-ed-ed-sàn	-VTR-PFV-3PL-3PL
-k-ed-om-màn-i	-VTR-PFV-1SG-1PL-PRES
-k-ed-om-ràn-i	-VTR-PFV-1SG-2PL-PRES
-k-ed-om-sàn-i	-VTR-PFV-1SG-3PL-PRES
-k-ed-or-màn-i	-VTR-PFV-2SG-1PL-PRES
-k-ed-or-ràn-i	-VTR-PFV-2SG-1PL-PRES
-k-ed-or-sàn-i	-VTR-PFV-2SG-3PL-PRES
-k-ed-os-màn-i	-VTR-PFV-3SG-1PL-PRES
-k-ed-os-ràn-i	-VTR-PFV-3SG-2PL-PRES
-k-ed-os-sàn-i	-VTR-PFV-3SG-3PL-PRES
-k-ed-ēn-màn-i	-VTR-PFV-1PL-1PL-PRES
-k-ed-ēn-ràn-i	-VTR-PFV-1PL-2PL-PRES
-k-ed-ēn-sàn-i	-VTR-PFV-1PL-3PL-PRES
-k-ed-ēs-màn-i	-VTR-PFV-2PL-1PL-PRES
-k-ed-ēs-ràn-i	-VTR-PFV-2PL-2PL-PRES
-k-ed-ēs-sàn-i	-VTR-PFV-2PL-3PL-PRES
-k-ed-ed-màn-i	-VTR-PFV-3PL-1PL-PRES
-k-ed-ed-ràn-i	-VTR-PFV-3PL-2PL-PRES
-k-ed-ed-sàn-i	-VTR-PFV-3PL-3PL-PRES
-k-ed-om-r-à	-VTR-PFV-1SG-2SG-REM
-k-ed-om-s-à	-VTR-PFV-1SG-3SG-REM
-k-ed-or-m-à	-VTR-PFV-2SG-1SG-REM
-k-ed-or-s-à	-VTR-PFV-2SG-3SG-REM
-k-ed-os-m-à	-VTR-PFV-3SG-1SG-REM
-k-ed-os-r-à	-VTR-PFV-3SG-2SG-REM
-k-ed-os-s-à	-VTR-PFV-3SG-3SG-REM
-k-ed-ēn-m-à	-VTR-PFV-1PL-1SG-REM
-k-ed-ēn-r-à	-VTR-PFV-1PL-2SG-REM
-k-ed-ēn-s-à	-VTR-PFV-1PL-3SG-REM
-k-ed-ēs-m-à	-VTR-PFV-2PL-1SG-REM
-k-ed-ēs-r-à	-VTR-PFV-2PL-2SG-REM
-k-ed-ēs-s-à	-VTR-PFV-2PL-3SG-REM
-k-ed-ed-m-à	-VTR-PFV-3PL-1SG-REM
-k-ed-ed-r-à	-VTR-PFV-3PL-2SG-REM
-k-ed-ed-s-à	-VTR-PFV-3PL-3SG-REM
-k-ed-om-màn-à	-VTR-PFV-1SG-1PL-REM
-k-ed-om-ràn-à	-VTR-PFV-1SG-2PL-REM
-k-ed-om-sàn-à	-VTR-PFV-1SG-3PL-REM
-k-ed-or-màn-à	-VTR-PFV-2SG-1PL-REM
-k-ed-or-ràn-à	-VTR-PFV-2SG-1PL-REM
-k-ed-or-sàn-à	-VTR-PFV-2SG-3PL-REM
-k-ed-os-màn-à	-VTR-PFV-3SG-1PL-REM
-k-ed-os-ràn-à	-VTR-PFV-3SG-2PL-REM
-k-ed-os-sàn-à	-VTR-PFV-3SG-3PL-REM
-k-ed-ēn-màn-à	-VTR-PFV-1PL-1PL-REM
-k-ed-ēn-ràn-à	-VTR-PFV-1PL-2PL-REM
-k-ed-ēn-sàn-à	-VTR-PFV-1PL-3PL-REM
-k-ed-ēs-màn-à	-VTR-PFV-2PL-1PL-REM
-k-ed-ēs-ràn-à	-VTR-PFV-2PL-2PL-REM
-k-ed-ēs-sàn-à	-VTR-PFV-2PL-3PL-REM
-k-ed-ed-màn-à	-VTR-PFV-3PL-1PL-REM
-k-ed-ed-ràn-à	-VTR-PFV-3PL-2PL-REM
-k-ed-ed-sàn-à	-VTR-PFV-3PL-3PL-REM
-nàw-id-om	-CAUS-PFV-1SG
-nàw-id-or	-CAUS-PFV-2SG
-nàw-id-à	-CAUS-PFV-3SG.M
-nàw-id-i	-CAUS-PFV-3SG.F
-nàw-id-ēn	-CAUS-PFV-1PL
-nàw-id-ēs	-CAUS-PFV-2PL
-nàw-id-e	-CAUS-PFV-3PL
-nàw-id-om-ir	-CAUS-PFV-1SG-2SG
-nàw-id-om-is	-CAUS-PFV-1SG-3SG
-nàw-id-or-im	-CAUS-PFV-2SG-1SG
-nàw-id-or-is	-CAUS-PFV-2SG-3SG
-nàw-id-os-im	-CAUS-PFV-3SG-1SG
-nàw-id-os-ir	-CAUS-PFV-3SG-2SG
-nàw-id-os-is	-CAUS-PFV-3SG-3SG
-nàw-id-ēn-im	-CAUS-PFV-1PL-1SG
-nàw-id-ēn-ir	-CAUS-PFV-1PL-2SG
-nàw-id-ēn-is	-CAUS-PFV-1PL-3SG
-nàw-id-ēs-im	-CAUS-PFV-2PL-1SG
-nàw-id-ēs-ir	-CAUS-PFV-2PL-2SG
-nàw-id-ēs-is	-CAUS-PFV-2PL-3SG
-nàw-id-ēd-im	-CAUS-PFV-3PL-1SG
-nàw-id-ēd-ir	-CAUS-PFV-3PL-2SG
-nàw-id-ēd-is	-CAUS-PFV-3PL-3SG
-nàw-id-om-màn	-CAUS-PFV-1SG-1PL
-nàw-id-om-ràn	-CAUS-PFV-1SG-2PL
-nàw-id-om-sàn	-CAUS-PFV-1SG-3PL
-nàw-id-or-màn	-CAUS-PFV-2SG-1PL
-nàw-id-or-ràn	-CAUS-PFV-2SG-1PL
-nàw-id-or-sàn	-CAUS-PFV-2SG-3PL
-nàw-id-os-màn	-CAUS-PFV-3SG-1PL
-nàw-id-os-ràn	-CAUS-PFV-3SG-2PL
-nàw-id-os-sàn	-CAUS-PFV-3SG-3PL
-nàw-id-ēn-màn	-CAUS-PFV-1PL-1PL
-nàw-id-ēn-ràn	-CAUS-PFV-1PL-2PL
-nàw-id-ēn-sàn	-CAUS-PFV-1PL-3PL
-nàw-id-ēs-màn	-CAUS-PFV-2PL-1PL
-nàw-id-ēs-ràn	-CAUS-PFV-2PL-2PL
-nàw-id-ēs-sàn	-CAUS-PFV-2PL-3PL
-nàw-id-ed-màn	-CAUS-PFV-3PL-1PL
-nàw-id-ed-ràn	-CAUS-PFV-3PL-2PL
-nàw-id-ed-sàn	-CAUS-PFV-3PL-3PL
-nàw-id-om-r-i	-CAUS-PFV-1SG-2SG-PRES
-nàw-id-om-s-i	-CAUS-PFV-1SG-3SG-PRES
-nàw-id-or-m-i	-CAUS-PFV-2SG-1SG-PRES
-nàw-id-or-s-i	-CAUS-PFV-2SG-3SG-PRES
-nàw-id-os-m-i	-CAUS-PFV-3SG-1SG-PRES
-nàw-id-os-r-i	-CAUS-PFV-3SG-2SG-PRES
-nàw-id-os-s-i	-CAUS-PFV-3SG-3SG-PRES
-nàw-id-ēn-m-i	-CAUS-PFV-1PL-1SG-PRES
-nàw-id-ēn-r-i	-CAUS-PFV-1PL-2SG-PRES
-nàw-id-ēn-s-i	-CAUS-PFV-1PL-3SG-PRES
-nàw-id-ēs-m-i	-CAUS-PFV-2PL-1SG-PRES
-nàw-id-ēs-r-i	-CAUS-PFV-2PL-2SG-PRES
-nàw-id-ēs-s-i	-CAUS-PFV-2PL-3SG-PRES
-nàw-id-ed-m-i	-CAUS-PFV-3PL-1SG-PRES
-nàw-id-ed-r-i	-CAUS-PFV-3PL-2SG-PRES
-nàw-id-ed-s-i	-CAUS-PFV-3PL-3SG-PRES
-nàw-id-om-màn-i	-CAUS-PFV-1SG-1PL-PRES
-nàw-id-om-ràn-i	-CAUS-PFV-1SG-2PL-PRES
-nàw-id-om-sàn-i	-CAUS-PFV-1SG-3PL-PRES
-nàw-id-or-màn-i	-CAUS-PFV-2SG-1PL-PRES
-nàw-id-or-ràn-i	-CAUS-PFV-2SG-1PL-PRES
-nàw-id-or-sàn-i	-CAUS-PFV-2SG-3PL-PRES
-nàw-id-os-màn-i	-CAUS-PFV-3SG-1PL-PRES
-nàw-id-os-ràn-i	-CAUS-PFV-3SG-2PL-PRES
-nàw-id-os-sàn-i	-CAUS-PFV-3SG-3PL-PRES
-nàw-id-ēn-màn-i	-CAUS-PFV-1PL-1PL-PRES
-nàw-id-ēn-ràn-i	-CAUS-PFV-1PL-2PL-PRES
-nàw-id-ēn-sàn-i	-CAUS-PFV-1PL-3PL-PRES
-nàw-id-ēs-màn-i	-CAUS-PFV-2PL-1PL-PRES
-nàw-id-ēs-ràn-i	-CAUS-PFV-2PL-2PL-PRES
-nàw-id-ēs-sàn-i	-CAUS-PFV-2PL-3PL-PRES
-nàw-id-ed-màn-i	-CAUS-PFV-3PL-1PL-PRES
-nàw-id-ed-ràn-i	-CAUS-PFV-3PL-2PL-PRES
-nàw-id-ed-sàn-i	-CAUS-PFV-3PL-3PL-PRES
-nàw-id-om-r-à	-CAUS-PFV-1SG-2SG-REM
-nàw-id-om-s-à	-CAUS-PFV-1SG-3SG-REM
-nàw-id-or-m-à	-CAUS-PFV-2SG-1SG-REM
-nàw-id-or-s-à	-CAUS-PFV-2SG-3SG-REM
-nàw-id-os-m-à	-CAUS-PFV-3SG-1SG-REM
-nàw-id-os-r-à	-CAUS-PFV-3SG-2SG-REM
-nàw-id-os-s-à	-CAUS-PFV-3SG-3SG-REM
-nàw-id-ēn-m-à	-CAUS-PFV-1PL-1SG-REM
-nàw-id-ēn-r-à	-CAUS-PFV-1PL-2SG-REM
-nàw-id-ēn-s-à	-CAUS-PFV-1PL-3SG-REM
-nàw-id-ēs-m-à	-CAUS-PFV-2PL-1SG-REM
-nàw-id-ēs-r-à	-CAUS-PFV-2PL-2SG-REM
-nàw-id-ēs-s-à	-CAUS-PFV-2PL-3SG-REM
-nàw-id-ed-m-à	-CAUS-PFV-3PL-1SG-REM
-nàw-id-ed-r-à	-CAUS-PFV-3PL-2SG-REM
-nàw-id-ed-s-à	-CAUS-PFV-3PL-3SG-REM
-nàw-id-om-màn-à	-CAUS-PFV-1SG-1PL-REM
-nàw-id-om-ràn-à	-CAUS-PFV-1SG-2PL-REM
-nàw-id-om-sàn-à	-CAUS-PFV-1SG-3PL-REM
-nàw-id-or-màn-à	-CAUS-PFV-2SG-1PL-REM
-nàw-id-or-ràn-à	-CAUS-PFV-2SG-1PL-REM
-nàw-id-or-sàn-à	-CAUS-PFV-2SG-3PL-REM
-nàw-id-os-màn-à	-CAUS-PFV-3SG-1PL-REM
-nàw-id-os-ràn-à	-CAUS-PFV-3SG-2PL-REM
-nàw-id-os-sàn-à	-CAUS-PFV-3SG-3PL-REM
-nàw-id-ēn-màn-à	-CAUS-PFV-1PL-1PL-REM
-nàw-id-ēn-ràn-à	-CAUS-PFV-1PL-2PL-REM
-nàw-id-ēn-sàn-à	-CAUS-PFV-1PL-3PL-REM
-nàw-id-ēs-màn-à	-CAUS-PFV-2PL-1PL-REM
-nàw-id-ēs-ràn-à	-CAUS-PFV-2PL-2PL-REM
-nàw-id-ēs-sàn-à	-CAUS-PFV-2PL-3PL-REM
-nàw-id-ed-màn-à	-CAUS-PFV-3PL-1PL-REM
-nàw-id-ed-ràn-à	-CAUS-PFV-3PL-2PL-REM
-nàw-id-ed-sàn-à	-CAUS-PFV-3PL-3PL-REM
-r-à	-PFV-3SG.M
-r-om-à	-PFV-1SG-REM
-r-or-à	-PFV-2SG-REM
-r-ēy-à	-PFV-3SG.M-REM
-r-īy-à	-PFV-3SG.F-REM
-r-ēn-à	-PFV-1PL-REM
-r-ēs-à	-PFV-2PL-REM
-r-ēd-à	-PFV-3PL-REM
-r-om-màn	-PFV-1SG-1PL
-r-om-ràn	-PFV-1SG-2PL
-r-om-sàn	-PFV-1SG-3PL
-r-or-màn	-PFV-2SG-1PL
-r-or-ràn	-PFV-2SG-1PL
-r-or-sàn	-PFV-2SG-3PL
-r-os-màn	-PFV-3SG-1PL
-r-os-ràn	-PFV-3SG-2PL
-r-os-sàn	-PFV-3SG-3PL
-r-ēn-màn	-PFV-1PL-1PL
-r-ēn-ràn	-PFV-1PL-2PL
-r-ēn-sàn	-PFV-1PL-3PL
-r-ēs-màn	-PFV-2PL-1PL
-r-ēs-ràn	-PFV-2PL-2PL
-r-ēs-sàn	-PFV-2PL-3PL
-r-ed-màn	-PFV-3PL-1PL
-r-ed-ràn	-PFV-3PL-2PL
-r-ed-sàn	-PFV-3PL-3PL
-r-om-màn-i	-PFV-1SG-1PL-PRES
-r-om-ràn-i	-PFV-1SG-2PL-PRES
-r-om-sàn-i	-PFV-1SG-3PL-PRES
-r-or-màn-i	-PFV-2SG-1PL-PRES
-r-or-ràn-i	-PFV-2SG-1PL-PRES
